Project ID,Opportunity Owner,Account Name,Stage, Amount ,Expected Revenue,Probability,Service Category,Service Line,Stage Number,New Business,Account Type,Billing Type,MSA Signed,Unsolicited Proposal,Deliverable Type
3828,Vivek Anand,Walmart,No bid / Retraction,1000000,0,0,Business and Domain Consulting,Consulting,-2,0,Wal-Mart,Time and Expense,0,Yes,Scope of Work / Project
3829,Vivek Anand,Walmart,No bid / Retraction,50000,0,0,Organization and Process Improvement,Consulting,-2,0,Wal-Mart,Time and Expense,0,Yes,Scope of Work / Project
3830,Vivek Anand,Walmart,No bid / Retraction,91476,0,0,Application Management,Application Managed Services,-2,0,Wal-Mart,Time and Expense,0,Yes,Scope of Work / Project
3831,Vivek Anand,Walmart,No bid / Retraction,300000,0,0,Application Management,Application Managed Services,-2,0,Wal-Mart,Time and Expense,0,No,Staff Augmentation
3832,Vivek Anand,Walmart,No bid / Retraction,287280,0,0,Enterprise Architecture,Consulting,-2,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3833,Vivek Anand,Walmart,Proposal Preparation Stage,500000,250000,1,Organization and Process Improvement,Consulting,4,0,Wal-Mart,Per Transaction,0,No,Scope of Work / Project
3834,Vivek Anand,Walmart,Signed Contract,35559,35559,1,Enterprise Architecture,Consulting,8,0,Wal-Mart,T and E with Cap,0,No,Scope of Work / Project
3835,Vivek Anand,Walmart,Signed Contract,79200,79200,1,Java Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,Yes,Staff Augmentation
3836,Vivek Anand,Walmart,Signed Contract,46008,46008,1,Enterprise Architecture,Consulting,8,0,Wal-Mart,T and E with Cap,0,No,Scope of Work / Project
3837,Vivek Anand,Walmart,Signed Contract,0,0,0,Enterprise Architecture,Consulting,8,0,Wal-Mart,T and E with Cap,0,No,Scope of Work / Project
3838,Vivek Sarin,Manpower Inc.,No bid / Retraction,500000,0,0,Database Management,Infrastructure Management Services,-2,0,US-Central BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3839,Vivek Sarin,International Truck and Engine,Signed Contract,22478,22478,1,Database Management,Infrastructure Management Services,8,0,US-Central BU,Time and Expense,0,No,Staff Augmentation
3840,Vivek Sarin,International Truck and Engine,Signed Contract,172144,172144,1,Application Management,Application Managed Services,8,0,US-Central BU,Time and Expense,0,No,Staff Augmentation
3841,William Norman,Adesa,Execution Complete,33891,33891,1,Application Testing,Quality and Testing,-3,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3842,William Norman,Adesa,Signed Contract,60005,60005,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3843,William Norman,Adesa,No bid / Retraction,1000000,0,0,Application Testing,Quality and Testing,-2,0,US-East BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
3844,William Norman,Adesa,Signed Contract,54078,54078,1,Functional Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3845,William Norman,Adesa,Signed Contract,38102,38102,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3846,William Norman,Adesa,Signed Contract,29623,29623,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3847,William Norman,Adesa,Signed Contract,33889,33889,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3848,William Norman,Adesa,Signed Contract,27039,27039,1,Functional Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3849,William Norman,Adesa,Signed Contract,12676,12676,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3850,William Norman,Adesa,Signed Contract,27041,27041,1,Functional Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3851,William Norman,Adesa,Signed Contract,50088,50088,1,Application Testing,Quality and Testing,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3852,Ankit Garg,Intel India,Signed Contract,49883,49883,1,Microsoft Systems,Technology Build Services,8,0,India BU,Fixed Bid,0,Yes,Scope of Work / Project
3853,Ankit Garg,Intel India,Signed Contract,6864,6864,1,Microsoft Systems,Technology Build Services,8,0,India BU,Flat Fee Monthly,0,Yes,Scope of Work / Project
3854,Ankit Garg,Intel India,Signed Contract,11440,11440,1,Microsoft Systems,Technology Build Services,8,0,India BU,Flat Fee Monthly,0,Yes,Scope of Work / Project
3855,Ankit Garg,Intel India,Signed Contract,7080,7080,1,Microsoft Systems,Technology Build Services,8,0,India BU,Flat Fee Monthly,0,Yes,Scope of Work / Project
3856,Ankit Garg,Intel India,No bid / Retraction,0,0,0,Microsoft Systems,Technology Build Services,-2,0,India BU,Time and Expense,0,Yes,Scope of Work / Project
3857,Ankit Garg,Intel India,Signed Contract,71808,71808,1,Microsoft Systems,Technology Build Services,8,0,India BU,Flat Fee Monthly,0,Yes,Scope of Work / Project
3858,Ankit Garg,Intel India,Signed Contract,11616,11616,1,Microsoft Systems,Technology Build Services,8,0,India BU,Time and Expense,0,Yes,Scope of Work / Project
3859,Ankit Garg,Intel India,Signed Contract,7592,7592,1,Microsoft Systems,Technology Build Services,8,0,India BU,Time and Expense,0,No,Staff Augmentation
3860,Ankit Garg,Intel India,Signed Contract,5512,5512,1,Microsoft Systems,Technology Build Services,8,0,India BU,Time and Expense,0,No,Staff Augmentation
3861,Ankit Garg,Intel India,Signed Contract,3200,3200,1,Microsoft Systems,Technology Build Services,8,0,India BU,Time and Expense,0,No,Staff Augmentation
3862,Ankit Garg,IBM India,Proposal On-desk Stage,200000,120000,1,,Consulting,5,0,India BU,Fixed Bid,0,No,Scope of Work / Project
3863,Arun Satyan,Cardinal Health,Execution Complete,0,0,0,SAP Systems,Technology Build Services,-3,1,US-Central BU,Time and Expense,0,No,Scope of Work / Project
3864,Ashwani Bhasin,KPMG L.L.P.,Signed Contract,70400,70400,1,Microsoft Systems,Technology Build Services,8,1,US-East BU,Time and Expense,0,Yes,Scope of Work / Project
3865,Ashwani Bhasin,Hamilton Sundstrand,Signed Contract,3000,3000,1,Microsoft Systems,Technology Build Services,8,0,US-East BU,Fixed Bid,0,Yes,Scope of Work / Project
3866,Cengiz Uludag,DHL-AsiaPac,Opportunity Closed LOST,7500,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3867,Cengiz Uludag,DHL-AsiaPac,Signed Contract,0,0,0,Java Systems,Technology Build Services,8,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3868,Donald Jones,Cisco,Signed Contract,72800,72800,1,Java Systems,Technology Build Services,8,1,Cisco,Flat Fee Monthly,0,No,Staff Augmentation
3869,Donald Scott,Bank of America,Signed Contract,486000,486000,1,Mainframe Systems,Technology Build Services,8,0,US-East BU,Flat Fee Monthly,1,Yes,Scope of Work / Project
3870,Donald Scott,Bank of America,Proposal Preparation Stage,492000,246000,1,Mainframe Systems,Technology Build Services,4,1,US-East BU,Flat Fee Monthly,1,No,Scope of Work / Project
3871,Donald Scott,Bank of America,Proposal Preparation Stage,206000,103000,1,Mainframe Systems,Technology Build Services,4,1,US-East BU,Flat Fee Monthly,1,No,Scope of Work / Project
3872,Erich Kreidler,H&R Block,Signed Contract,0,0,0,Microsoft Systems,Technology Build Services,8,0,US-Central BU,Internal,0,No,Scope of Work / Project
3873,Gary Rikard,Oracle Corporation,Opportunity Closed LOST,150000,0,0,Java Systems,Technology Build Services,-1,0,US-West BU,Fixed Bid,0,No,Scope of Work / Project
3874,Gary Rikard,Sempra Energy,Opportunity Closed LOST,1801313,0,0,Mainframe Systems,Technology Build Services,-1,0,US-West BU,Time and Expense,0,No,Scope of Work / Project
3875,Gary Rikard,Sempra Energy,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,US-West BU,Time and Expense,0,No,Scope of Work / Project
3876,Houssam Ahmed,DHL-USA,Opportunity Closed LOST,26000,0,0,Java Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3877,James Jarvis,Allen & Overy LLP,No bid / Retraction,50000,0,0,Java Systems,Technology Build Services,-2,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3878,James Jarvis,MGPR Ltd,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
3879,James Jarvis,MGPR Ltd,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
3880,James Jarvis,MGPR Ltd,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
3881,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,8512,8512,1,Mainframe Systems,Technology Build Services,8,0,US-West BU,Fixed Bid,1,No,Scope of Work / Project
3882,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3883,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,37520,37520,1,Mainframe Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3884,Jeremy McClellan,Costco Wholesale Corporation,Opportunity Closed LOST,100000,0,0,Mainframe Systems,Technology Build Services,-1,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3885,Jeremy McClellan,Costco Wholesale Corporation,Opportunity Closed LOST,166152,0,0,Mainframe Systems,Technology Build Services,-1,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3886,Jeremy McClellan,Costco Wholesale Corporation,Opportunity Closed LOST,206400,0,0,Mainframe Systems,Technology Build Services,-1,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3887,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,214248,214248,1,Mainframe Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3888,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,62880,62880,1,Mainframe Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
3889,Jose Ossa,Vanguard,Opportunity Closed LOST,500000,0,0,Java Systems,Technology Build Services,-1,0,US-East BU,Time and Expense,0,No,Scope of Work / Project
3890,Karen Gelstein,"Publicis, Inc.",Opportunity Closed LOST,150000,0,0,Enterprise Mobility Systems,Technology Build Services,-1,0,US-East BU,Time and Expense,0,Yes,Scope of Work / Project
3891,Kevin Swanson,"Wellpoint, Inc",Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,WellPoint BU,Fixed Bid,0,No,Managed Services / SLA Based
3892,Kyle Crane,Unum Group,Opportunity Identification Stage,250000,75000,0,Java Systems,Technology Build Services,3,1,US-Central BU,Flat Fee Monthly,1,No,Scope of Work / Project
3893,Kyle Crane,CCH Incorporated,Signed Contract,67280,67280,1,Microsoft Systems,Technology Build Services,8,1,US-Central BU,Time and Expense,0,No,Scope of Work / Project
3894,Kyle Crane,AON,Opportunity Closed LOST,250000,0,0,Java Systems,Technology Build Services,-1,1,US-Central BU,Time and Expense,0,No,Staff Augmentation
3895,Lakshman Muthayya,PepsiCo,No bid / Retraction,500000,0,0,Finance and Accounting Services,Business Process Outsourcing,-2,0,US-West BU,Per Transaction,0,Yes,Managed Services / SLA Based
3896,Lakshman Muthayya,PepsiCo,Opportunity Closed LOST,553472,0,0,Collaboration Systems,Technology Build Services,-1,0,US-West BU,Time and Expense,0,Yes,Scope of Work / Project
3897,Leo Bley,"Blackhawk Network Holdings, Inc.",Signed Contract,87812,87812,1,Mainframe Systems,Technology Build Services,8,0,US-West BU,Time and Expense,0,No,Scope of Work / Project
3898,Mahesh Bhaskar,GE Corporate,Signed Contract,50500.8,50500.8,1,Oracle Systems,Enterprise Solutions,8,0,GE BU,Flat Fee Monthly,1,No,Scope of Work / Project
3899,Mel Parekh,"DELL, Inc.",No bid / Retraction,1000000,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3900,Mel Parekh,"DELL, Inc.",Opportunity Closed LOST,2786444,0,0,Microsoft Systems,Technology Build Services,-1,1,Dell BU,Time and Expense,0,No,Scope of Work / Project
3901,Mel Parekh,"DELL, Inc.",No bid / Retraction,100000,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3902,Mel Parekh,"DELL, Inc.",Signed Contract,120000,120000,1,Microsoft Systems,Technology Build Services,8,1,Dell BU,Time and Expense,0,No,Scope of Work / Project
3903,Mel Parekh,"DELL, Inc.",No bid / Retraction,680000,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,Yes,Scope of Work / Project
3904,Mel Parekh,"DELL, Inc.",Signed Contract,141120,141120,1,Microsoft Systems,Technology Build Services,8,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3905,Mel Parekh,"DELL, Inc.",No bid / Retraction,77509,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3906,Mel Parekh,"DELL, Inc.",No bid / Retraction,90000,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,Yes,Scope of Work / Project
3907,Mel Parekh,"DELL, Inc.",Signed Contract,220800,220800,1,Microsoft Systems,Technology Build Services,8,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3908,Michael Hopewell,Johnson & Johnson,Signed Contract,66368,66368,1,Open Source Systems,Technology Build Services,8,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
3909,Michael Hopewell,Johnson & Johnson,Execution Complete,23510,23510,1,Java Systems,Technology Build Services,-3,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
3910,Michael Hopewell,Johnson & Johnson,Signed Contract,9750,9750,1,Java Systems,Technology Build Services,8,0,US-East BU,Flat Fee Monthly,0,No,Staff Augmentation
3911,Nadarsha Sainaba,"Wellpoint, Inc",Signed Contract,131386,131386,1,Java Systems,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Scope of Work / Project
3912,Narendranath PN,Koorkenchery SCB,Proposal On-desk Stage,10667,6400.2,1,Microsoft Systems,Technology Build Services,5,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3913,Narendranath PN,Kerala Service Coop Banks,No bid / Retraction,3333,0,0,Microsoft Systems,Technology Build Services,-2,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3914,Narendranath PN,DBOI Global Services Private Limited,No bid / Retraction,26760,0,0,Cloud Based Systems,Technology Build Services,-2,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3915,Narendranath PN,Kerala Service Coop Banks,Verbal Agreement,11111,9999.9,1,Microsoft Systems,Technology Build Services,7,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3916,Narendranath PN,Kerala Service Coop Banks,Proposal On-desk Stage,10000,6000,1,Microsoft Systems,Technology Build Services,5,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3917,Narendranath PN,Kerala Service Coop Banks,Proposal On-desk Stage,11812,7087.2,1,Microsoft Systems,Technology Build Services,5,0,SMB BU,Fixed Bid,0,No,Scope of Work / Project
3918,Niranjan Ramsunder,G4S plc,Signed Contract,25000,25000,1,Microsoft Systems,Technology Build Services,8,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3919,Niranjan Ramsunder,G4S plc,Signed Contract,297000,297000,1,Microsoft Systems,Technology Build Services,8,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3920,Omprakash Jayasree,H.E. Butt Grocery Company,Signed Contract,167520,167520,1,Microsoft Systems,Technology Build Services,8,0,US-West BU,Flat Fee Monthly,1,Yes,Staff Augmentation
3921,Phillip Arvin,Adesa,Signed Contract,801501,801501,1,Java Systems,Technology Build Services,8,0,US-East BU,Flat Fee Monthly,0,Yes,Staff Augmentation
3922,Praveen Syamala,"Wellpoint, Inc",Signed Contract,49420,49420,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
3923,Ramakrishnan Gopalan,"DELL, Inc.",No bid / Retraction,160000,0,0,Microsoft Systems,Technology Build Services,-2,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3924,Ramakrishnan Gopalan,"DELL, Inc.",Opportunity Closed LOST,35752.43,0,0,Microsoft Systems,Technology Build Services,-1,1,Dell BU,Fixed Bid,0,No,Scope of Work / Project
3925,Richard Hettinger,Catalina,Signed Contract,41522,41522,1,Microsoft Systems,Technology Build Services,8,0,US-East BU,Time and Expense,0,No,Scope of Work / Project
3926,Ryan Prindiville,Safeway,Signed Contract,31452,31452,1,,Technology Build Services,8,0,US-West BU,Time and Expense,1,No,Scope of Work / Project
3927,Santosh Rajput,Debenhams plc,No bid / Retraction,100000,0,0,Microsoft Systems,Technology Build Services,-2,1,Europe BU,Fixed Bid,0,Yes,Scope of Work / Project
3928,Santosh Rajput,Debenhams plc,Signed Contract,810,810,1,Mainframe Systems,Technology Build Services,8,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3929,Santosh Rajput,Debenhams plc,Signed Contract,0,0,0,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
3930,Santosh Rajput,Debenhams plc,Signed Contract,5017.95,5017.95,1,Mainframe Systems,Technology Build Services,8,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3931,Santosh Rajput,ASDA Group Limited,Signed Contract,32643,32643,1,Microsoft Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3932,Santosh Rajput,Debenhams plc,Signed Contract,2721.6,2721.6,1,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
3933,Santosh Rajput,ASDA Group Limited,Signed Contract,78003,78003,1,Microsoft Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3934,Santosh Rajput,Debenhams plc,No bid / Retraction,100000,0,0,Microsoft Systems,Technology Build Services,-2,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3935,Santosh Rajput,Debenhams plc,Opportunity Closed LOST,50000,0,0,Mainframe Systems,Technology Build Services,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3936,Santosh Rajput,Debenhams plc,Opportunity Closed LOST,14628,0,0,Microsoft Systems,Technology Build Services,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3937,Santosh Rajput,ASDA Group Limited,Signed Contract,2616.3,2616.3,1,Microsoft Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3938,Santosh Rajput,ASDA Group Limited,Signed Contract,39900.6,39900.6,1,Microsoft Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3939,Santosh Rajput,Debenhams plc,Signed Contract,2721.6,2721.6,1,Mainframe Systems,Technology Build Services,8,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
3940,Santosh Rajput,ASDA Group Limited,Signed Contract,37746,37746,1,Microsoft Systems,Technology Build Services,8,0,Wal-Mart,Time and Expense,0,No,Scope of Work / Project
3941,Santosh Rajput,Debenhams plc,No bid / Retraction,30000,0,0,Microsoft Systems,Technology Build Services,-2,0,Europe BU,Fixed Bid,0,Yes,Scope of Work / Project
3942,Santosh Rajput,G4S plc,Opportunity Closed LOST,0,0,0,Microsoft Systems,Technology Build Services,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
3943,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,650000,0,0,Java Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3944,Saurabh Suri,DHL-Europe,No bid / Retraction,450000,0,0,Java Systems,Technology Build Services,-2,0,DHL,Fixed Bid,0,Yes,Scope of Work / Project
3945,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,71131,0,0,Microsoft Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,Yes,Scope of Work / Project
3946,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,234300,0,0,Java Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3947,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,812638,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3948,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,48425,0,0,Java Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3949,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,8455,0,0,Mainframe Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3950,Saurabh Suri,DHL-AsiaPac,Execution Complete,1090,1090,1,Java Systems,Technology Build Services,-3,0,DHL,Internal,0,No,Scope of Work / Project
3951,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,20320,0,0,Java Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3952,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,9005,0,0,Mainframe Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3953,Saurabh Suri,DHL-Europe,Execution Complete,1780,1780,1,Mainframe Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3954,Saurabh Suri,DHL-USA,Opportunity Closed LOST,24450,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Time and Expense,0,No,Scope of Work / Project
3955,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,60000,0,0,Java Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3956,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,161812,0,0,Java Systems,Technology Build Services,-2,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3957,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,20000,0,0,Mainframe Systems,Technology Build Services,-1,1,DHL,Time and Expense,0,No,Scope of Work / Project
3958,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,17545,0,0,Java Systems,Technology Build Services,-1,0,DHL,Time and Expense,0,No,Scope of Work / Project
3959,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,10000,0,0,Java Systems,Technology Build Services,-1,1,DHL,Time and Expense,0,No,Scope of Work / Project
3960,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,38700,0,0,Enterprise Mobility Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3961,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,0,0,0,Java Systems,Technology Build Services,-2,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3962,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,4000,0,0,Mainframe Systems,Technology Build Services,-2,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3963,Saurabh Suri,DHL-AsiaPac,Execution Complete,113610,113610,1,Mainframe Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3964,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,1480,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3965,Saurabh Suri,DHL-AsiaPac,Signed Contract,11235,11235,1,Mainframe Systems,Technology Build Services,8,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3966,Saurabh Suri,DHL-AsiaPac,Execution Complete,3250,3250,1,Mainframe Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3967,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,0,0,0,Mainframe Systems,Technology Build Services,-2,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3968,Saurabh Suri,DHL-AsiaPac,Execution Complete,4730,4730,1,Mainframe Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3969,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,11090,0,0,Java Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3970,Saurabh Suri,DHL-AsiaPac,Execution Complete,680,680,1,Mainframe Systems,Technology Build Services,-3,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3971,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,72800,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Time and Expense,0,Yes,Scope of Work / Project
3972,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,84480,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Time and Expense,0,No,Scope of Work / Project
3973,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,9690,0,0,Mainframe Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3974,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,4070,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,Yes,Scope of Work / Project
3975,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,42000,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,Yes,Scope of Work / Project
3976,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,20000,0,0,Mainframe Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3977,Saurabh Suri,DHL-AsiaPac,Execution Complete,15660,15660,1,Java Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3978,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,22000,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3979,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,15000,0,0,Java Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3980,Saurabh Suri,DHL-AsiaPac,Execution Complete,9524,9524,1,Java Systems,Technology Build Services,-3,1,DHL,Internal,0,Yes,Scope of Work / Project
3981,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,3870,0,0,Mainframe Systems,Technology Build Services,-1,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3982,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,20000,0,0,Enterprise Mobility Systems,Technology Build Services,-1,0,DHL,Time and Expense,0,No,Scope of Work / Project
3983,Saurabh Suri,DHL-AsiaPac,Execution Complete,1450,1450,1,Mainframe Systems,Technology Build Services,-3,1,DHL,Flat Fee Monthly,0,No,Scope of Work / Project
3984,Saurabh Suri,DHL-AsiaPac,Opportunity Closed LOST,7000,0,0,Java Systems,Technology Build Services,-1,1,DHL,Fixed Bid,0,No,Scope of Work / Project
3985,Saurabh Suri,DHL-Europe,No bid / Retraction,0,0,0,Java Systems,Technology Build Services,-2,0,DHL,Time and Expense,0,Yes,Scope of Work / Project
3986,Saurabh Suri,DHL-Europe,Execution Complete,394,394,1,Mainframe Systems,Technology Build Services,-3,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3987,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,30000,0,0,Business Process Management Systems,Technology Build Services,-2,0,DHL,Fixed Bid,0,No,Scope of Work / Project
3988,Saurabh Suri,DHL-Europe,Opportunity Closed LOST,18780,0,0,Java Systems,Technology Build Services,-1,0,DHL,Internal,0,No,Scope of Work / Project
3989,Saurabh Suri,DHL-AsiaPac,No bid / Retraction,2575,0,0,Mainframe Systems,Technology Build Services,-2,0,DHL,Fixed Bid,0,No,Scope of Work / Project
